workload,pool,trial,command,threads,warmup,reps,matrix_n,matrix_bs,fib_n,fib_tasks,fib_split_threshold,fib_single_n,fib_single_split_threshold,fib_fast_n,fib_fast_tasks,throughput_tasks_per_s,latency_p50_s,latency_p95_s,latency_p99_s,cpu_pct,perf_context_switches,perf_cpu_migrations,max_rss_kb,avg_rss_kb,elapsed_s,user_s,sys_s
matrix,classic,1,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench classic 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4703.694789004,0.053788000,0.055750900,0.055925380,598,200,2,28444,0,0.29,1.76,0.02
matrix,classic,2,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench classic 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4744.105541523,0.053948500,0.054083500,0.054095500,605,152,1,28604,0,0.29,1.78,0.01
matrix,classic,3,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench classic 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4745.433447150,0.053957000,0.054044030,0.054051766,589,168,3,28472,0,0.30,1.76,0.03
matrix,classic,4,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench classic 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4747.765675509,0.053835700,0.054072850,0.054093930,601,245,2,28448,0,0.29,1.77,0.02
matrix,classic,5,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench classic 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4737.196615865,0.054006900,0.054132360,0.054143512,604,230,1,28472,0,0.29,1.78,0.01
matrix,ws,1,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench ws 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4742.242450850,0.054013100,0.054046760,0.054049752,592,209,2,28412,0,0.30,1.76,0.02
matrix,ws,2,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench ws 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4691.385626401,0.054383200,0.055304350,0.055386230,599,285,2,28500,0,0.30,1.78,0.02
matrix,ws,3,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench ws 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4701.699223485,0.053926400,0.055447040,0.055582208,590,195,2,28620,0,0.30,1.77,0.02
matrix,ws,4,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench ws 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4705.397973738,0.054334300,0.054628150,0.054654270,598,210,2,28608,0,0.29,1.76,0.02
matrix,ws,5,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench ws 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4697.445947260,0.054063600,0.055372290,0.055488618,600,232,1,28612,0,0.30,1.78,0.02
matrix,elastic,1,/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench elastic 1024 64 8 1 3,8,1,3,1024,64,NA,NA,NA,NA,NA,NA,NA,4721.026085513,0.054302300,0.054354140,0.054358748,605,220,1,28816,0,0.29,1.79,0.01
