"bench","preset","mode","fib_n","threads","warmup","reps","tasks","split_threshold","exit_code","bench_best_s","bench_avg_s","time_elapsed_s","time_elapsed_raw","time_user_s","time_sys_s","time_cpu_pct","time_max_rss_kb","time_voluntary_cs","time_involuntary_cs","time_minor_pf","time_major_pf","perf_available","perf_task_clock","perf_context_switches","perf_cpu_migrations","perf_page_faults","perf_cycles","perf_instructions","perf_branches","perf_branch_misses","perf_cache_references","perf_cache_misses","bench_log","time_log","perf_log"
"fib_bench","fb_light","classic","52","1","1","3","1","46","0","4.3166e-05","5.33543e-05","0.030000","0:00.03","0.01","0.01","66%","12288","20","1","1520","0","1","2.69","8","0","135","4162035","4278889","632334","26632","61262","13334","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_classic_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_classic_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_classic_fb_light.log"
"fib_bench","fb_mid","classic","60","1","1","3","1","54","0","3.8275e-05","4.83307e-05","0.020000","0:00.02","0.00","0.01","100%","12288","19","2","1527","0","1","2.53","8","0","135","4095177","3946888","645408","26355","61033","12237","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_classic_fb_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_classic_fb_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_classic_fb_mid.log"
"fib_bench","fb_heavy","classic","65","1","1","3","2","60","0","4.0084e-05","4.4663e-05","0.020000","0:00.02","0.00","0.01","100%","12416","20","2","1525","0","1","2.55","9","0","137","3995130","3994954","644166","26389","59109","12408","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_classic_fb_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_classic_fb_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_classic_fb_heavy.log"
"fib_single_bench","fs_light","classic","54","1","1","3","0","48","0","7.373e-05","8.22177e-05","0.020000","0:00.02","0.00","0.01","100%","12544","20","1","1521","0","1","2.66","9","0","137","4502185","4432166","672654","27205","63900","12112","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_classic_fs_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_classic_fs_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_classic_fs_light.log"
"fib_single_bench","fs_mid","classic","60","1","1","3","0","54","0","6.2701e-05","6.67473e-05","0.020000","0:00.02","0.00","0.01","95%","12416","20","0","1530","0","1","2.43","9","0","139","5927200","3814990","679960","27047","57933","10644","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_classic_fs_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_classic_fs_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_classic_fs_mid.log"
"fib_single_bench","fs_heavy","classic","65","1","1","3","0","60","0","3.5844e-05","3.8431e-05","0.020000","0:00.02","0.00","0.01","95%","12544","20","0","1528","0","1","1.91","9","0","137","4743579","3729401","659269","27344","58340","11473","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_classic_fs_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_classic_fs_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_classic_fs_heavy.log"
"fib_fast_bench","ff_light","classic","90","1","1","3","1","0","0","2.8909e-05","4.68403e-05","0.020000","0:00.02","0.00","0.01","95%","12416","19","1","1521","0","1","1.89","8","0","135","4115625","4455619","623535","26161","60895","12120","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_classic_ff_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_classic_ff_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_classic_ff_light.log"
"fib_fast_bench","ff_mid","classic","93","1","1","3","1","0","0","2.6854e-05","2.8879e-05","0.020000","0:00.02","0.00","0.01","100%","12416","20","1","1529","0","1","1.89","9","0","135","4651789","3916061","629605","26622","58808","13353","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_classic_ff_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_classic_ff_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_classic_ff_mid.log"
"fib_fast_bench","ff_heavy","classic","93","1","1","3","4","0","0","4.546e-05","5.19823e-05","0.020000","0:00.02","0.00","0.01","95%","12416","20","2","1523","0","1","1.94","9","0","134","4810669","3680767","627091","26178","60197","10474","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_classic_ff_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_classic_ff_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_classic_ff_heavy.log"
"fib_bench","fb_light","coro","52","1","1","3","1","46","0","2.6642e-05","2.90313e-05","0.030000","0:00.03","0.00","0.01","70%","12416","20","0","1526","0","1","1.83","8","0","136","4763989","3594199","630387","26432","56909","11823","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_coro_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_coro_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_coro_fb_light.log"
