preset,mode,n,block_size,threads,warmup,reps,best_s,avg_s,checksum,log
light,classic,1024,64,1,1,3,0.284468,0.284551,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_classic_t1.log
light,classic,1024,64,2,1,3,0.168166,0.168973,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_classic_t2.log
light,classic,1024,64,4,1,3,0.102476,0.102739,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_classic_t4.log
light,classic,1024,64,8,1,3,0.048688,0.048816,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_classic_t8.log
light,classic,1024,64,16,1,3,0.0318965,0.0340602,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_classic_t16.log
light,coro,1024,64,1,1,3,0.283307,0.283393,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_coro_t1.log
light,coro,1024,64,2,1,3,0.169014,0.169391,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_coro_t2.log
light,coro,1024,64,4,1,3,0.103055,0.103239,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_coro_t4.log
light,coro,1024,64,8,1,3,0.0463892,0.0464116,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_coro_t8.log
light,coro,1024,64,16,1,3,0.0302138,0.0332739,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_coro_t16.log
light,ws,1024,64,1,1,3,0.280144,0.28035,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_ws_t1.log
light,ws,1024,64,2,1,3,0.164636,0.164789,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_ws_t2.log
light,ws,1024,64,4,1,3,0.102138,0.102232,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_ws_t4.log
light,ws,1024,64,8,1,3,0.0424756,0.0434146,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_ws_t8.log
light,ws,1024,64,16,1,3,0.0251223,0.0258423,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_ws_t16.log
light,elastic,1024,64,1,1,3,0.16597,0.166033,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_elastic_t1.log
light,elastic,1024,64,2,1,3,0.0905788,0.0909823,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_elastic_t2.log
light,elastic,1024,64,4,1,3,0.0469767,0.0472457,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_elastic_t4.log
light,elastic,1024,64,8,1,3,0.0251703,0.0260965,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_elastic_t8.log
light,elastic,1024,64,16,1,3,0.0227941,0.0231262,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_elastic_t16.log
light,advws,1024,64,1,1,3,0.185183,0.185578,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_advws_t1.log
light,advws,1024,64,2,1,3,0.0933374,0.094047,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_advws_t2.log
light,advws,1024,64,4,1,3,0.04251,0.0432291,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_advws_t4.log
light,advws,1024,64,8,1,3,0.0216047,0.0221237,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_advws_t8.log
light,advws,1024,64,16,1,3,0.0207314,0.0208818,14.2335,results/matrix_mul_perf_20260307_013420/matrix_mul_light_advws_t16.log
