preset,mode,n,block_size,threads,warmup,reps,exit_code,duration_s,best_s,avg_s,checksum,log
light,classic,1024,64,1,1,3,0,1,0.316565,0.316647,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_classic_t1.log
light,classic,1024,64,2,1,3,0,1,0.165224,0.166431,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_classic_t2.log
light,classic,1024,64,4,1,3,0,0,0.103021,0.103627,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_classic_t4.log
light,classic,1024,64,8,1,3,0,1,0.0472793,0.0478378,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_classic_t8.log
light,classic,1024,64,16,1,3,0,0,0.0332156,0.0340673,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_classic_t16.log
light,coro,1024,64,1,1,3,0,1,0.313268,0.313592,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_coro_t1.log
light,coro,1024,64,2,1,3,0,1,0.178161,0.178339,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_coro_t2.log
light,coro,1024,64,4,1,3,0,0,0.0913701,0.0915796,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_coro_t4.log
light,coro,1024,64,8,1,3,0,1,0.0462542,0.0462978,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_coro_t8.log
light,coro,1024,64,16,1,3,0,0,0.031888,0.034412,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_coro_t16.log
light,ws,1024,64,1,1,3,0,1,0.30941,0.30961,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_ws_t1.log
light,ws,1024,64,2,1,3,0,1,0.165779,0.166919,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_ws_t2.log
light,ws,1024,64,4,1,3,0,0,0.0827661,0.0840403,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_ws_t4.log
light,ws,1024,64,8,1,3,0,0,0.0413606,0.0420918,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_ws_t8.log
light,ws,1024,64,16,1,3,0,1,0.0263746,0.0267217,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_ws_t16.log
light,elastic,1024,64,1,1,3,0,0,0.182709,0.182819,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_elastic_t1.log
light,elastic,1024,64,2,1,3,0,1,0.0913832,0.0915681,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_elastic_t2.log
light,elastic,1024,64,4,1,3,0,0,0.053028,0.0531955,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_elastic_t4.log
light,elastic,1024,64,8,1,3,0,0,0.0266892,0.026804,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_elastic_t8.log
light,elastic,1024,64,16,1,3,0,0,0.0227204,0.0234232,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_elastic_t16.log
light,advws,1024,64,1,1,3,0,1,0.187422,0.187816,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_advws_t1.log
light,advws,1024,64,2,1,3,0,1,0.0800616,0.081592,14.2335,results/matrix_mul_perf_20260307_013906/matrix_mul_light_advws_t2.log
