mode,preset,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,lat_avg,lat_stdev,lat_max,req_sec_avg,req_sec_stdev,req_sec_max,p50,p75,p90,p99,requests,total_read,requests_sec,transfer_sec,socket_errors,raw_log
classic,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,19.49ms,0.97ms,26.57ms,201.92,7.32,232.00,19.78ms,20.20ms,20.32ms,20.56ms,6452,8.03s,803.22,132.31KB,,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_wrk_20260227_161803/wrk_classic_p1_light_cpu_heavy_io.log
classic,p2_balanced,200,5000,200,32,10s,4,25.93ms,1.49ms,45.49ms,305.04,11.77,340.00,26.06ms,26.50ms,26.70ms,27.62ms,12189,10.05s,1212.93,199.00KB,,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_wrk_20260227_161803/wrk_classic_p2_balanced.log
classic,p3_cpu_heavy,1200,200,1200,32,10s,4,10.99ms,3.14ms,46.06ms,734.74,49.00,800.00,10.58ms,10.61ms,10.64ms,30.25ms,29296,10.02s,2924.03,482.58KB,,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_wrk_20260227_161803/wrk_classic_p3_cpu_heavy.log
classic,p4_io_heavy_high_conc,100,10000,100,64,12s,4,98.34ms,5.38ms,124.19ms,161.84,8.47,212.00,98.98ms,99.84ms,100.59ms,106.77ms,7778,12.07s,644.66,107.02KB,,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_wrk_20260227_161803/wrk_classic_p4_io_heavy_high_conc.log
classic,p5_stress_mix,600,3000,600,96,12s,4,59.34ms,3.10ms,84.13ms,404.12,18.84,480.00,59.52ms,59.61ms,59.71ms,67.22ms,19333,12.03s,1607.29,263.70KB,,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_wrk_20260227_161803/wrk_classic_p5_stress_mix.log
coro,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,10.51ms,2.62ms,48.07ms,370.01,28.87,410.00,10.45ms,10.64ms,10.91ms,25.63ms,11823,8.02s,1473.37,242.58KB,,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_wrk_20260227_161803/wrk_coro_p1_light_cpu_heavy_io.log
coro,p2_balanced,200,5000,200,32,10s,4,7.46ms,4.21ms,48.38ms,1.09k,119.42,1.20k,6.88ms,7.04ms,7.20ms,35.37ms,43345,10.02s,4327.34,709.95KB,,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_wrk_20260227_161803/wrk_coro_p2_balanced.log
coro,p3_cpu_heavy,1200,200,1200,32,10s,4,10.02ms,3.16ms,47.72ms,809.98,64.89,0.88k,9.59ms,9.62ms,9.65ms,30.43ms,32302,10.02s,3223.49,532.00KB,,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_wrk_20260227_161803/wrk_coro_p3_cpu_heavy.log
coro,p4_io_heavy_high_conc,100,10000,100,64,12s,4,13.70ms,5.59ms,62.95ms,1.14k,146.82,1.30k,12.94ms,13.35ms,13.86ms,48.28ms,54440,12.03s,4526.63,751.49KB,,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_wrk_20260227_161803/wrk_coro_p4_io_heavy_high_conc.log
coro,p5_stress_mix,600,3000,600,96,12s,4,14.76ms,1.82ms,48.68ms,1.62k,69.22,1.79k,14.62ms,14.76ms,14.91ms,24.16ms,77643,12.03s,6456.63,1.03MB,,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_wrk_20260227_161803/wrk_coro_p5_stress_mix.log
