mode,preset,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,lat_avg,lat_stdev,lat_max,req_sec_avg,req_sec_stdev,req_sec_max,p50,p75,p90,p99,requests,total_read,requests_sec,transfer_sec,socket_errors,raw_log
classic,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,16.48ms,255.87us,17.26ms,242.12,5.42,272.00,16.52ms,16.53ms,16.54ms,16.64ms,7712,8.01s,963.12,158.01KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_classic_p1_light_cpu_heavy_io.log
classic,p2_balanced,200,5000,200,32,10s,4,21.84ms,472.50us,22.25ms,366.35,27.01,404.00,21.87ms,21.88ms,21.90ms,21.93ms,14591,10.01s,1457.51,239.12KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_classic_p2_balanced.log
classic,p3_cpu_heavy,1200,200,1200,32,10s,4,10.63ms,161.83us,10.99ms,750.30,22.58,808.00,10.65ms,10.67ms,10.68ms,10.69ms,29886,10.01s,2985.59,492.74KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_classic_p3_cpu_heavy.log
classic,p4_io_heavy_high_conc,100,10000,100,64,12s,4,82.10ms,3.56ms,83.08ms,194.68,25.76,262.00,82.33ms,82.39ms,82.51ms,82.79ms,9313,12.01s,775.52,128.75KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_classic_p4_io_heavy_high_conc.log
classic,p5_stress_mix,600,3000,600,96,12s,4,51.24ms,1.81ms,52.10ms,469.15,12.31,484.00,51.34ms,51.36ms,51.39ms,51.48ms,22412,12.01s,1866.37,306.20KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_classic_p5_stress_mix.log
coro,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,8.37ms,64.77us,12.01ms,474.39,10.80,484.00,8.36ms,8.40ms,8.42ms,8.49ms,15117,8.01s,1887.92,309.74KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_coro_p1_light_cpu_heavy_io.log
coro,p2_balanced,200,5000,200,32,10s,4,5.62ms,132.48us,10.16ms,1.40k,21.93,1.45k,5.59ms,5.64ms,5.70ms,5.99ms,55896,10.01s,5586.10,0.89MB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_coro_p2_balanced.log
coro,p3_cpu_heavy,1200,200,1200,32,10s,4,9.78ms,144.03us,13.55ms,814.69,16.85,0.87k,9.78ms,9.80ms,9.82ms,9.90ms,32402,10.01s,3237.62,534.33KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_coro_p3_cpu_heavy.log
coro,p4_io_heavy_high_conc,100,10000,100,64,12s,4,10.41ms,128.82us,14.29ms,1.53k,29.64,1.60k,10.38ms,10.44ms,10.49ms,10.80ms,72934,12.01s,6074.06,0.98MB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_coro_p4_io_heavy_high_conc.log
coro,p5_stress_mix,600,3000,600,96,12s,4,15.23ms,330.35us,19.12ms,1.57k,54.87,1.70k,15.21ms,15.25ms,15.29ms,17.10ms,75064,12.01s,6251.60,1.00MB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_coro_p5_stress_mix.log
ws,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,16.49ms,779.61us,18.75ms,242.03,3.57,270.00,16.51ms,16.89ms,17.27ms,18.55ms,7707,8.00s,962.93,157.98KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_ws_p1_light_cpu_heavy_io.log
ws,p2_balanced,200,5000,200,32,10s,4,21.85ms,3.56ms,30.97ms,365.96,19.09,404.00,21.79ms,23.25ms,27.37ms,30.56ms,14580,10.00s,1457.32,239.09KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_ws_p2_balanced.log
ws,p3_cpu_heavy,1200,200,1200,32,10s,4,10.65ms,2.02ms,17.81ms,748.90,20.42,838.00,10.52ms,10.87ms,13.19ms,17.26ms,29826,10.01s,2981.03,491.99KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_ws_p3_cpu_heavy.log
ws,p4_io_heavy_high_conc,100,10000,100,64,12s,4,82.09ms,3.58ms,83.72ms,194.67,27.66,272.00,82.32ms,82.52ms,82.92ms,83.54ms,9314,12.01s,775.73,128.78KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_ws_p4_io_heavy_high_conc.log
ws,p5_stress_mix,600,3000,600,96,12s,4,51.25ms,2.92ms,57.54ms,468.71,11.88,494.00,51.32ms,53.16ms,54.43ms,55.78ms,22405,12.01s,1865.97,306.14KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_ws_p5_stress_mix.log
elastic,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,8.34ms,46.97us,8.65ms,474.41,12.79,490.00,8.34ms,8.37ms,8.41ms,8.46ms,15124,8.01s,1889.16,309.94KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_elastic_p1_light_cpu_heavy_io.log
elastic,p2_balanced,200,5000,200,32,10s,4,5.53ms,56.67us,10.58ms,1.42k,21.06,1.46k,5.50ms,5.55ms,5.60ms,5.67ms,56694,10.00s,5668.04,0.91MB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_elastic_p2_balanced.log
elastic,p3_cpu_heavy,1200,200,1200,32,10s,4,2.77ms,133.18us,5.40ms,2.75k,70.67,2.88k,2.74ms,2.81ms,2.87ms,3.39ms,109310,10.00s,10928.05,1.76MB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_elastic_p3_cpu_heavy.log
elastic,p4_io_heavy_high_conc,100,10000,100,64,12s,4,20.49ms,288.55us,21.38ms,780.91,28.15,808.00,20.51ms,20.52ms,20.53ms,20.57ms,37305,12.01s,3105.28,515.52KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_elastic_p4_io_heavy_high_conc.log
elastic,p5_stress_mix,600,3000,600,96,12s,4,12.78ms,169.03us,14.05ms,1.87k,35.59,1.94k,12.79ms,12.81ms,12.82ms,12.85ms,89500,12.00s,7455.25,1.19MB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_elastic_p5_stress_mix.log
advws,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,8.32ms,35.53us,8.74ms,476.80,9.23,490.00,8.31ms,8.35ms,8.36ms,8.42ms,15199,8.01s,1897.58,311.32KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_advws_p1_light_cpu_heavy_io.log
advws,p2_balanced,200,5000,200,32,10s,4,5.53ms,54.32us,10.54ms,1.42k,20.81,1.46k,5.50ms,5.55ms,5.59ms,5.67ms,56709,10.00s,5668.43,0.91MB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_advws_p2_balanced.log
advws,p3_cpu_heavy,1200,200,1200,32,10s,4,2.77ms,129.96us,5.84ms,2.75k,72.88,2.88k,2.74ms,2.80ms,2.87ms,3.40ms,109497,10.00s,10946.52,1.76MB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_advws_p3_cpu_heavy.log
advws,p4_io_heavy_high_conc,100,10000,100,64,12s,4,20.48ms,3.16ms,29.36ms,780.17,25.86,830.00,20.41ms,22.09ms,24.78ms,28.35ms,37290,12.01s,3105.63,515.58KB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_advws_p4_io_heavy_high_conc.log
advws,p5_stress_mix,600,3000,600,96,12s,4,12.78ms,3.46ms,21.07ms,1.87k,49.60,2.08k,12.78ms,15.49ms,17.15ms,19.93ms,89470,12.00s,7453.13,1.19MB,,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_20260301_181834/wrk_advws_p5_stress_mix.log
