mode,threads,preset,run,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,exit_code,runtime_s,lat_avg,lat_stdev,lat_max,req_sec_avg,req_sec_stdev,req_sec_max,p50,p75,p90,p99,requests,total_read,requests_sec,transfer_sec,socket_errors,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,server_log,wrk_log,perf_log,time_log
classic,1,p1_light_cpu_heavy_io,1,100,8000,100,16,8s,4,0,8.01,132.10ms,9.41ms,133.31ms,32.68,10.20,40.00,133.14ms,133.19ms,133.22ms,133.26ms,961,8.01s,120.02,19.69KB,,1,291.81,1956,2,5,369049357,485842556,83283091,250138,3643133,6995,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/time_run1.log
classic,1,p1_light_cpu_heavy_io,2,100,8000,100,16,8s,4,0,8.01,132.08ms,9.41ms,133.31ms,30.69,11.74,40.00,133.12ms,133.18ms,133.22ms,133.26ms,961,8.01s,119.95,19.68KB,,1,290.63,1954,2,5,365410657,482498688,82762756,250129,3613080,6761,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/time_run2.log
classic,1,p1_light_cpu_heavy_io,3,100,8000,100,16,8s,4,0,8.01,132.08ms,9.41ms,133.28ms,31.11,11.49,40.00,133.12ms,133.18ms,133.21ms,133.25ms,961,8.01s,119.96,19.68KB,,1,290.72,1955,2,5,360350955,479570996,82422222,246108,3752144,4778,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io/time_run3.log
classic,1,p2_balanced,1,200,5000,200,32,10s,4,0,10.01,175.28ms,13.20ms,176.99ms,46.23,22.43,80.00,176.80ms,176.84ms,176.88ms,176.96ms,1809,10.01s,180.73,29.65KB,,1,919.07,3679,2,5,1145480335,1587496764,270511750,465727,6884435,6341,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/time_run1.log
classic,1,p2_balanced,2,200,5000,200,32,10s,4,0,10.01,175.21ms,13.19ms,176.94ms,45.97,21.95,80.00,176.74ms,176.77ms,176.80ms,176.87ms,1810,10.01s,180.81,29.66KB,,1,917.01,3676,2,5,1142874255,1591923244,270822959,465819,6911590,5893,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/time_run2.log
classic,1,p2_balanced,3,200,5000,200,32,10s,4,0,10.01,175.19ms,13.18ms,176.90ms,46.21,22.75,80.00,176.72ms,176.76ms,176.80ms,176.86ms,1811,10.01s,180.90,29.68KB,,1,915.72,3684,2,5,1139785572,1591599305,271481874,465515,6760484,6391,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced/time_run3.log
classic,1,p3_cpu_heavy,1,1200,200,1200,32,10s,4,0,10.01,85.91ms,4.50ms,87.15ms,92.83,15.22,131.00,86.27ms,86.29ms,86.32ms,86.44ms,3706,10.01s,370.36,61.12KB,,1,9227.69,7470,4,66,21927736908,32718477320,5545069832,1192575,15686173,19285,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/time_run1.log
classic,1,p3_cpu_heavy,2,1200,200,1200,32,10s,4,0,10.00,85.84ms,4.51ms,86.50ms,92.92,16.05,140.00,86.20ms,86.24ms,86.27ms,86.34ms,3708,10.00s,370.64,61.17KB,,1,9226.54,7476,6,66,22009988774,32916323010,5586477972,1170845,15705315,14431,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/time_run2.log
classic,1,p3_cpu_heavy,3,1200,200,1200,32,10s,4,0,10.00,85.90ms,4.52ms,86.56ms,92.84,15.32,140.00,86.26ms,86.29ms,86.31ms,86.35ms,3706,10.01s,370.40,61.13KB,,1,9225.75,7471,4,66,22016259206,32889981361,5573629907,1165219,15287013,18972,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy/time_run3.log
classic,1,p4_io_heavy_high_conc,1,100,10000,100,64,12s,4,0,12.02,643.15ms,86.96ms,661.41ms,32.10,21.26,90.00,661.20ms,661.22ms,661.24ms,661.39ms,1161,12.01s,96.65,16.05KB,,1,370.02,2426,10,5,394277082,512291330,87639784,298996,4699695,5251,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p4_io_heavy_high_conc/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p4_io_heavy_high_conc/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p4_io_heavy_high_conc/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p4_io_heavy_high_conc/time_run1.log
