mode,threads,preset,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
classic,1,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.010000,8.043333,119.970000,119.603333,132.170000,132.173333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io
classic,1,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.010000,180.920000,180.756667,175.230000,175.296667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced
classic,1,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.010000,10.010000,370.320000,370.236667,85.870000,85.893333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy
classic,1,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.030000,12.030000,96.640000,96.596667,643.020000,643.070000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p4_io_heavy_high_conc
classic,1,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.030000,12.030000,231.140000,230.590000,407.540000,408.253333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p5_stress_mix
classic,1,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.040000,12.043333,49.330000,49.323333,1.230000,1.230000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p6_ultra_io_bound
coro,1,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.000000,8.006667,1866.220000,1865.516667,8.490000,8.493333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t1_p1_light_cpu_heavy_io
coro,1,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.010000,2122.800000,2115.626667,14.990000,15.040000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t1_p2_balanced
coro,1,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.010000,10.010000,405.170000,403.873333,78.600000,78.863333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t1_p3_cpu_heavy
coro,1,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.010000,12.016667,3686.910000,3672.960000,17.260000,17.320000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t1_p4_io_heavy_high_conc
coro,1,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.023333,790.680000,788.056667,120.810000,121.036667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t1_p5_stress_mix
coro,1,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.020000,3111.510000,3100.260000,20.450000,20.746667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t1_p6_ultra_io_bound
ws,1,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.000000,8.066667,119.960000,119.370000,132.130000,132.153333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t1_p1_light_cpu_heavy_io
ws,1,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.010000,181.030000,180.916667,175.030000,175.143333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t1_p2_balanced
ws,1,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.010000,10.010000,370.400000,370.346667,85.870000,85.890000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t1_p3_cpu_heavy
ws,1,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.030000,12.043333,96.650000,96.620000,642.930000,642.986667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t1_p4_io_heavy_high_conc
ws,1,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.026667,231.760000,231.386667,406.600000,407.183333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t1_p5_stress_mix
ws,1,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.040000,12.040000,49.340000,49.330000,1.230000,1.230000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t1_p6_ultra_io_bound
elastic,1,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.020000,8.073333,239.520000,238.983333,66.150000,66.226667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t1_p1_light_cpu_heavy_io
