mode,threads,preset,run,cpu1_mm,io_us,cpu2_mm,mm_n,mm_bs,connections,duration,wrk_threads,exit_code,runtime_s,lat_avg,lat_stdev,lat_max,req_sec_avg,req_sec_stdev,req_sec_max,p50,p75,p90,p99,requests,total_read,requests_sec,transfer_sec,socket_errors,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,server_log,wrk_log,perf_log,time_log
classic,1,p1_light_cpu_heavy_io,1,1,8000,1,256,32,16,8s,4,0,8.01,498.20ms,69.70ms,522.10ms,12.47,9.98,30.00,512.84ms,514.83ms,517.62ms,520.72ms,249,8.01s,31.08,5.68KB,,1,6382.94,545,30,392,20878709038,74105600972,9481457271,271707139,2161113063,73052253,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/time_run1.log
classic,1,p1_light_cpu_heavy_io,2,1,8000,1,256,32,16,8s,4,0,8.01,493.21ms,68.72ms,512.67ms,11.01,7.22,30.00,508.62ms,509.57ms,510.55ms,512.22ms,251,8.01s,31.33,5.72KB,,1,6347.94,544,31,392,20738823493,74671447932,9548487314,273827229,2233001477,73336106,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/time_run2.log
classic,1,p1_light_cpu_heavy_io,3,1,8000,1,256,32,16,8s,4,0,8.01,498.15ms,69.98ms,520.05ms,11.57,8.28,30.00,512.16ms,514.95ms,516.29ms,519.82ms,249,8.01s,31.08,5.68KB,,1,6387.55,535,14,392,20892299650,74117550944,9478152996,271604686,2000956793,69910689,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io/time_run3.log
classic,1,p2_balanced,1,2,5000,2,256,32,32,10s,4,0,10.02,1.54s,361.24ms,1.69s,9.55,5.03,20.00,1.67s,1.68s,1.68s,1.68s,191,10.02s,19.07,3.48KB,,1,10531.49,443,15,392,34584031104,124732644479,15959250065,456646016,3750816824,117008160,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/time_run1.log
classic,1,p2_balanced,2,2,5000,2,256,32,32,10s,4,0,10.02,1.56s,371.15ms,1.71s,9.16,5.39,20.00,1.70s,1.71s,1.71s,1.71s,188,10.01s,18.78,3.43KB,,1,10548.19,443,17,392,34543022243,123100612807,15743977764,450642079,3773351111,127703739,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/time_run2.log
classic,1,p2_balanced,3,2,5000,2,256,32,32,10s,4,0,10.02,1.53s,361.11ms,1.68s,9.72,5.20,20.00,1.67s,1.67s,1.67s,1.68s,191,10.01s,19.07,3.48KB,,1,10506.50,448,37,392,34498042351,124715854845,15958014876,456755940,3668629522,113251732,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced/time_run3.log
classic,1,p3_cpu_heavy,1,3,200,3,256,32,32,10s,4,0,10.03,2.01s,552.36ms,2.27s,8.75,5.46,20.00,2.25s,2.26s,2.26s,2.27s,141,10.01s,14.08,2.56KB,,1,11773.14,338,20,392,38867903808,140196907289,17937028126,513227526,4193851502,127837159,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/time_run1.log
classic,1,p3_cpu_heavy,2,3,200,3,256,32,32,10s,4,0,10.03,2.01s,552.12ms,2.27s,6.92,4.74,20.00,2.25s,2.26s,2.26s,2.27s,141,10.02s,14.08,2.56KB,,1,11772.09,336,17,392,38922298933,140036943247,17916169228,512642125,4283044763,128608004,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/time_run2.log
classic,1,p3_cpu_heavy,3,3,200,3,256,32,32,10s,4,0,10.02,2.02s,555.48ms,2.28s,9.00,5.64,20.00,2.26s,2.27s,2.27s,2.28s,141,10.01s,14.08,2.56KB,,1,11771.13,345,40,392,38924160374,140064248367,17918756029,512697885,4071049685,124398826,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy/time_run3.log
classic,1,p4_io_heavy_high_conc,1,1,10000,1,256,32,64,12s,4,0,12.05,1.99s,495.36ms,2.20s,10.56,5.96,30.00,2.18s,2.19s,2.19s,2.20s,351,12.03s,29.17,5.36KB,,1,9742.94,804,40,392,31774274024,113463970183,14515413481,415720664,3429453649,111775061,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p4_io_heavy_high_conc/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p4_io_heavy_high_conc/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p4_io_heavy_high_conc/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p4_io_heavy_high_conc/time_run1.log
