mode,threads,preset,cpu1_mm,io_us,cpu2_mm,mm_n,mm_bs,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
classic,1,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,31.330000,31.163333,493.210000,496.520000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p1_light_cpu_heavy_io
classic,1,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.020000,10.020000,19.070000,18.973333,1.530000,1.543333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p2_balanced
classic,1,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.020000,10.026667,14.080000,14.080000,2.010000,2.013333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p3_cpu_heavy
classic,1,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.030000,12.040000,29.530000,29.353333,1.970000,1.980000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p4_io_heavy_high_conc
classic,1,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.050000,12.053333,19.880000,19.870000,3.860000,3.863333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p5_stress_mix
classic,1,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.040000,12.046667,22.690000,22.610000,2.480000,2.490000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t1_p6_ultra_io_bound
coro,1,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,41.320000,41.240000,379.650000,379.793333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t1_p1_light_cpu_heavy_io
coro,1,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.020000,10.020000,19.580000,19.506667,1.460000,1.463333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t1_p2_balanced
coro,1,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.020000,10.020000,12.780000,12.780000,2.150000,2.150000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t1_p3_cpu_heavy
coro,1,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.030000,12.033333,41.810000,40.486667,1.470000,1.490000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t1_p4_io_heavy_high_conc
coro,1,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.040000,12.043333,18.380000,18.013333,4.040000,4.066667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t1_p5_stress_mix
coro,1,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.020000,12.026667,41.920000,41.666667,1.470000,1.470000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t1_p6_ultra_io_bound
ws,1,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,31.340000,31.260000,493.450000,495.063333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t1_p1_light_cpu_heavy_io
ws,1,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.020000,10.020000,19.070000,18.776667,1.540000,1.563333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t1_p2_balanced
ws,1,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.030000,10.030000,14.180000,13.980000,2.010000,2.030000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t1_p3_cpu_heavy
ws,1,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.030000,12.033333,29.620000,29.476667,1.970000,1.976667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t1_p4_io_heavy_high_conc
ws,1,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.050000,12.056667,19.790000,19.643333,3.870000,3.896667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t1_p5_stress_mix
ws,1,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.040000,12.040000,22.710000,22.596667,2.480000,2.493333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t1_p6_ultra_io_bound
elastic,1,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,62.930000,62.546667,249.820000,251.510000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t1_p1_light_cpu_heavy_io
elastic,1,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.016667,38.350000,37.820000,799.730000,810.470000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t1_p2_balanced
elastic,1,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.020000,10.020000,28.360000,28.030000,1.070000,1.076667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t1_p3_cpu_heavy
elastic,1,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.030000,12.033333,59.040000,58.763333,1.030000,1.036667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t1_p4_io_heavy_high_conc
elastic,1,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.030000,12.036667,39.900000,39.643333,2.170000,2.176667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t1_p5_stress_mix
elastic,1,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.030000,12.033333,45.580000,45.340000,1.320000,1.326667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t1_p6_ultra_io_bound
advws,1,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,62.910000,62.220000,250.000000,252.660000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t1_p1_light_cpu_heavy_io
