mode,preset,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,exit_code,lat_avg,lat_stdev,lat_max,req_sec_avg,req_sec_stdev,req_sec_max,p50,p75,p90,p99,requests,total_read,requests_sec,transfer_sec,socket_errors,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,server_log,wrk_log,perf_log
classic,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,0,16.52ms,259.75us,16.90ms,241.94,2.31,252.00,16.54ms,16.56ms,16.57ms,16.61ms,7698,8.01s,961.49,157.74KB,,1,2313.03,14670,5584,21,6662276175,6693873675,1157561098,23081970,160781029,87594024,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/server_classic_p1_light_cpu_heavy_io.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/wrk_classic_p1_light_cpu_heavy_io.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/perf_classic_p1_light_cpu_heavy_io.log
classic,p2_balanced,200,5000,200,32,10s,4,0,21.89ms,471.20us,22.25ms,365.28,25.61,404.00,21.92ms,21.93ms,21.94ms,21.97ms,14553,10.02s,1453.10,238.40KB,,1,7031.12,27019,9087,23,21820125024,24634371636,4214110423,33567564,228184801,81464054,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/server_classic_p2_balanced.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/wrk_classic_p2_balanced.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/perf_classic_p2_balanced.log
classic,p3_cpu_heavy,1200,200,1200,32,10s,4,0,10.69ms,161.72us,11.86ms,747.26,16.84,797.00,10.69ms,10.71ms,10.72ms,10.74ms,29739,10.00s,2972.73,490.62KB,,1,73425.80,55350,19799,25,241204010098,288223542219,48966668339,77049935,454566607,122048616,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/server_classic_p3_cpu_heavy.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/wrk_classic_p3_cpu_heavy.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/perf_classic_p3_cpu_heavy.log
classic,p4_io_heavy_high_conc,100,10000,100,64,12s,4,0,82.35ms,3.59ms,83.60ms,193.99,30.68,262.00,82.58ms,82.73ms,82.88ms,83.16ms,9280,12.01s,772.55,128.25KB,,1,2793.72,16103,3082,25,7448328488,7288007475,1266713531,27505837,182648318,94731889,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/server_classic_p4_io_heavy_high_conc.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/wrk_classic_p4_io_heavy_high_conc.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/perf_classic_p4_io_heavy_high_conc.log
classic,p5_stress_mix,600,3000,600,96,12s,4,0,51.33ms,1.83ms,51.80ms,468.00,12.90,484.00,51.44ms,51.49ms,51.53ms,51.58ms,22379,12.01s,1863.17,305.68KB,,1,28708.00,42276,16484,25,92849009416,109139178792,18568700783,54147799,350038091,124390775,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/server_classic_p5_stress_mix.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/wrk_classic_p5_stress_mix.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/perf_classic_p5_stress_mix.log
coro,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,0,8.44ms,61.67us,11.45ms,470.56,12.03,484.00,8.43ms,8.46ms,8.49ms,8.57ms,14996,8.01s,1873.20,307.32KB,,1,6108.66,67292,11018,956,17585542108,14863356856,2627475792,85910679,548585628,249356242,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/server_coro_p1_light_cpu_heavy_io.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/wrk_coro_p1_light_cpu_heavy_io.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/perf_coro_p1_light_cpu_heavy_io.log
coro,p2_balanced,200,5000,200,32,10s,4,0,5.69ms,116.59us,9.48ms,1.39k,19.29,1.44k,5.66ms,5.71ms,5.78ms,6.06ms,55261,10.01s,5522.40,0.88MB,,1,34676.43,246756,56659,26040,105761743386,97064692010,16893047610,342920157,2081727426,873180905,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/server_coro_p2_balanced.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/wrk_coro_p2_balanced.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/perf_coro_p2_balanced.log
coro,p3_cpu_heavy,1200,200,1200,32,10s,4,0,9.85ms,132.69us,13.27ms,807.34,10.80,0.85k,9.86ms,9.88ms,9.91ms,9.97ms,32136,10.00s,3212.18,530.14KB,,1,81909.53,58311,18486,1839,268676924638,313949622349,53431567200,146352795,888315544,268778600,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/server_coro_p3_cpu_heavy.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/wrk_coro_p3_cpu_heavy.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/perf_coro_p3_cpu_heavy.log
coro,p4_io_heavy_high_conc,100,10000,100,64,12s,4,0,10.48ms,142.55us,15.56ms,1.52k,31.99,1.59k,10.45ms,10.51ms,10.57ms,10.82ms,72471,12.01s,6035.98,0.98MB,,1,31078.81,332309,89647,29585,90718464225,71872975455,12753856405,445300179,2732844302,1160129440,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/server_coro_p4_io_heavy_high_conc.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/wrk_coro_p4_io_heavy_high_conc.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/perf_coro_p4_io_heavy_high_conc.log
coro,p5_stress_mix,600,3000,600,96,12s,4,0,15.50ms,293.76us,19.06ms,1.54k,47.67,1.66k,15.48ms,15.53ms,15.57ms,16.16ms,73807,12.01s,6147.75,0.99MB,,1,100759.34,134461,35705,15785,326918577415,365587557942,62466322540,343524884,2154157018,793160415,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/server_coro_p5_stress_mix.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/wrk_coro_p5_stress_mix.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260301_185238/perf_coro_p5_stress_mix.log
